original_Name,original_Father's Name,original_ID Number,original_Phone Number,original_Address,original_Specialty,lat,lon,formatted,housenumber,name,street,postcode,county,district,suburb,city,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
Hassan Muhammad,Muhammad Nisar,49534-4602639-3,03544852943,"381 Road, Korangi,City",Painter,,,,,,,,,,,,,,,,,,,,,
Muhammad Hassan,Bilal Arsalan,94054-9633644-2,03113498353,"597 Street, Saddar,Town",Painter,24.8619621,67.03359315349786,"St Patrick's College, Church Street, Saddar, Karachi Division 74400, Pakistan",,St Patrick's College,Church Street,74400,,Saddar Bazaar,Saddar,Karachi Division,Sindh,SD,Pakistan,pk,0.5850000000000001,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hassan Ahmed,Qamar Hassan,21991-6928737-1,03220191704,"618 Road, Liaquatabad,City",Electrician,24.900508,67.040089,"Service Road, C Area Liaquatabad, Karachi, Pakistan",,,Service Road,,Karachi,,C Area Liaquatabad,Karachi,Sindh,SD,Pakistan,pk,0.5071304347826088,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Nisar,Arsalan Muhammad,14940-1766522-7,03278673020,"107 Street, Liaquatabad,City",Painter,33.588618,72.934009,"Street 107, Sector I-16, Islamabad, Pakistan",,,Street 107,,,,Sector I-16,Islamabad,Islamabad,IS,Pakistan,pk,0.044452799999999994,0.3086999999999999,0.2778299999999999,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Faizan Afzal,Haider Nisar,45780-4805084-2,03408807880,"79 Street, Saddar,Town",Flat Tire Mechanic,33.717185,73.091486,"Street 79, Sector G-6, Islamabad, Pakistan",,,Street 79,,,,Sector G-6,Islamabad,Islamabad,IS,Pakistan,pk,0.5755263157894738,0.7290000000000001,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Faizan Bilal,Haider Qamar,74225-5322326-3,03252867140,"228 Avenue, Gulshan,Town",Key Maker,31.483405,74.236167,"Gulshan Town, Lahore, PB, Pakistan",,Gulshan Town,,,Lahore,,Gulshan Town,Lahore,Punjab,PB,Pakistan,pk,0.9,0.9,,,,https://www.whosonfirst.org/docs/licenses/
Faizan Faizan,Muhammad Ali,48420-1519296-1,03974298147,"554 Road, Kimari,Town",Painter,24.8759114,67.179059,"Meezan Bank Jamia Millia Road Branch, Jamia Milla Road, Shah Faisal Town, Karachi Division 75210, Pakistan",,Meezan Bank Jamia Millia Road Branch,Jamia Milla Road,75210,Karachi,,Shah Faisal Town,Karachi Division,Sindh,SD,Pakistan,pk,0.32805000000000006,0.81,0.6561000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Faizan Haider,Arsalan Ali,88097-8716308-1,03319082850,"635 Avenue, Kimari,Town",Key Maker,33.551749,73.132651,"Central Avenue, Bahria Town, Rawalpindi, Pakistan",,,Central Avenue,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.44550000000000006,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Ali,Ahmed Ali,66031-5005656-2,03994464650,"463 Avenue, Korangi,City",Flat Tire Mechanic,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.38185714285714295,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Faizan,Faizan Hassan,34719-2562806-4,03263325400,"293 Road, Orangi,Town",Denter,24.9499909,66.980492,"L Block Road, Chisti Nagar, Karachi Division 75840, Pakistan",,L Block Road,L Block Road,75840,,Orangi Town,Chisti Nagar,Karachi Division,Sindh,SD,Pakistan,pk,0.63,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
