Name,Father's Name,ID Number,Phone Number,Address,Specialty,Latitude,Longitude
Hassan Muhammad,Muhammad Nisar,49534-4602639-3,3544852943,"381 Road, Korangi,City",Painter,24.8387414,67.1209226
Muhammad Hassan,Bilal Arsalan,94054-9633644-2,3113498353,"597 Street, Saddar,Town",Painter,24.8531846,67.0166725
Hassan Ahmed,Qamar Hassan,21991-6928737-1,3220191704,"618 Road, Liaquatabad,City",Electrician,24.9046605,67.0472374
Qazi Mairaj Nisar,Arsalan Muhammad,14940-1766522-7,3278673020,"107 Street, Liaquatabad,City",Painter,24.9046605,67.0472374
Faizan Afzal,Haider Nisar,45780-4805084-2,3408807880,"79 Street, Saddar,Town",Flat Tire Mechanic,24.8531846,67.0166725
Faizan Bilal,Haider Qamar,74225-5322326-3,3252867140,"228 Avenue, Gulshan,Town",Key Maker,24.9180271,67.0970916
Faizan Faizan,Muhammad Ali,48420-1519296-1,3974298147,"554 Road, Kimari,Town",Painter,24.8787702,66.87899999999999
Faizan Haider,Arsalan Ali,88097-8716308-1,3319082850,"635 Avenue, Kimari,Town",Key Maker,24.8787702,66.87899999999999
Haider Ali,Ahmed Ali,66031-5005656-2,3994464650,"463 Avenue, Korangi,City",Flat Tire Mechanic,24.8387414,67.1209226
Ahmed Faizan,Faizan Hassan,34719-2562806-4,3263325400,"293 Road, Orangi,Town",Denter,24.9517285,67.00227149999999
Qamar Bilal,Bilal Hassan,76497-4447998-2,3962746080,"703 Road, Saddar,City",Key Maker,24.8615984,67.0290744
Qazi Mairaj Haider,Ali Hassan,73017-4553530-1,3883003911,"14 Road, Saddar,Town",Electrician,24.8531846,67.0166725
Hassan Haider,Muhammad Nisar,10953-4698771-5,3385695296,"115 Road, Kimari,City",Key Maker,,
Qamar Hassan,Muhammad Faizan,70429-6569422-3,3908750391,"630 Road, Orangi,Town",Auto Mechanic,24.9517285,67.00227149999999
Muhammad Qamar,Qazi Mairaj Qamar,36534-6062369-6,3262318135,"313 Avenue, Five Star,City",Electrician,,
Qamar Afzal,Hassan Qazi Mairaj,68308-4769015-9,3474031200,"822 Avenue, Five Star,Town",Painter,,
Qamar Muhammad,Muhammad Qazi Mairaj,13231-5023382-8,3967620324,"647 Street, Gulshan,City",Key Maker,,
Ahmed Hassan,Afzal Hassan,98477-8819397-6,3609580571,"920 Avenue, Kimari,Town",Auto Mechanic,24.8787702,66.87899999999999
Qazi Mairaj Ahmed,Bilal Faizan,34011-5795107-9,3212340310,"576 Street, Korangi,Town",Auto Mechanic,24.8387414,67.1209226
Arsalan Afzal,Haider Hassan,15483-2730137-3,3784598315,"537 Road, Korangi,City",Denter,24.8387414,67.1209226
Qamar Hassan,Ali Afzal,59698-9770288-6,3709633337,"601 Avenue, Korangi,City",Denter,24.8387414,67.1209226
Ali Qazi Mairaj,Hassan Hassan,89926-8254766-2,3051703371,"460 Street, Liaquatabad,City",Key Maker,24.9046605,67.0472374
Hassan Hassan,Haider Hassan,17715-4946199-3,3718087479,"793 Road, Kimari,Town",Auto Mechanic,24.8787702,66.87899999999999
Faizan Ahmed,Afzal Muhammad,86613-5165609-8,3341990875,"507 Road, Kimari,City",Flat Tire Mechanic,,
Afzal Afzal,Qazi Mairaj Qazi Mairaj,92357-5534041-1,3379731648,"776 Avenue, Liaquatabad,City",Auto Mechanic,24.9046605,67.0472374
Bilal Nisar,Arsalan Ali,16044-3740439-1,3252146056,"488 Street, Five Star,Town",Body-Mechanic,,
Arsalan Bilal,Qamar Muhammad,21903-2004973-4,3978330584,"623 Avenue, Liaquatabad,Town",Flat Tire Mechanic,24.9046605,67.0472374
Muhammad Nisar,Arsalan Arsalan,51674-2552175-8,3148903194,"225 Street, Saddar,City",Painter,24.8615984,67.0290744
Haider Nisar,Ahmed Ali,92011-6634769-8,3990569691,"597 Street, Kimari,City",Body-Mechanic,,
Bilal Hassan,Ahmed Ahmed,50434-6521754-6,3994268166,"407 Road, Orangi,Town",Flat Tire Mechanic,24.9517285,67.00227149999999
Bilal Qamar,Haider Faizan,76520-7790058-4,3663416939,"267 Avenue, Kimari,City",Flat Tire Mechanic,,
Ali Haider,Muhammad Ahmed,80850-5725466-1,3701976732,"74 Avenue, Liaquatabad,Town",Electrician,24.9046605,67.0472374
Afzal Hassan,Muhammad Ali,13531-1939413-9,3775153800,"706 Avenue, Orangi,Town",Flat Tire Mechanic,24.9517285,67.00227149999999
Muhammad Muhammad,Hassan Nisar,88793-6582785-2,3974397276,"642 Avenue, Saddar,Town",Painter,24.8531846,67.0166725
Bilal Haider,Ahmed Faizan,18906-3402268-8,3837498527,"338 Road, Korangi,City",Flat Tire Mechanic,24.8387414,67.1209226
Muhammad Qamar,Haider Bilal,23627-3646270-9,3955190960,"693 Street, Orangi,Town",Electrician,24.9517285,67.00227149999999
Qazi Mairaj Hassan,Hassan Muhammad,60803-4176366-4,3139986366,"819 Street, Korangi,Town",Key Maker,24.8387414,67.1209226
Nisar Nisar,Muhammad Arsalan,71158-9649234-9,3969212693,"356 Avenue, Five Star,City",Body-Mechanic,,
Haider Afzal,Qamar Muhammad,19911-9454351-2,3035965189,"950 Road, Orangi,City",Denter,24.9517285,67.00227149999999
Qamar Afzal,Arsalan Afzal,47677-7288566-6,3702819271,"827 Avenue, Korangi,City",Auto Mechanic,24.8387414,67.1209226
Ali Faizan,Ahmed Arsalan,48090-9716940-6,3920046016,"540 Avenue, Gulshan,Town",Auto Mechanic,24.9180271,67.0970916
Muhammad Ahmed,Haider Muhammad,34101-3695806-4,3509475744,"720 Road, Korangi,City",Auto Mechanic,24.8387414,67.1209226
Ahmed Muhammad,Arsalan Haider,43287-7784531-4,3435945495,"692 Avenue, Five Star,City",Body-Mechanic,,
Arsalan Faizan,Qazi Mairaj Afzal,27632-3439074-2,3719097548,"11 Road, Five Star,Town",Electrician,,
Haider Ali,Faizan Afzal,57056-6611352-2,3448872321,"190 Street, Gulshan,Town",Denter,24.9180271,67.0970916
Faizan Qamar,Ali Qazi Mairaj,55293-9993738-8,3262237456,"997 Road, Kimari,City",Auto Mechanic,,
Muhammad Faizan,Ali Haider,97450-4496562-4,3506825213,"837 Street, Orangi,Town",Denter,24.9517285,67.00227149999999
Haider Muhammad,Faizan Hassan,46315-4422874-4,3809824880,"238 Avenue, Gulshan,City",Body-Mechanic,33.2573986,73.1455467
Muhammad Arsalan,Muhammad Faizan,67645-4454519-1,3965070894,"388 Avenue, Johar,City",Auto Mechanic,,
Muhammad Ali,Muhammad Qamar,77406-5336421-2,3865988851,"843 Avenue, Johar,City",Key Maker,,
Qazi Mairaj Nisar,Qazi Mairaj Afzal,16755-8563364-4,3678060821,"596 Road, Five Star,Town",Painter,,
Muhammad Nisar,Muhammad Muhammad,27654-4116627-4,3103901700,"222 Avenue, Saddar,City",Painter,24.8615984,67.0290744
Muhammad Muhammad,Muhammad Afzal,47762-6254695-3,3739429342,"215 Street, Liaquatabad,City",Key Maker,24.9046605,67.0472374
Hassan Faizan,Afzal Afzal,83551-5884852-9,3520816478,"992 Avenue, Saddar,Town",Electrician,24.8531846,67.0166725
Muhammad Hassan,Ali Nisar,45921-2647848-5,3401318857,"227 Avenue, Korangi,City",Flat Tire Mechanic,24.8387414,67.1209226
Muhammad Qamar,Hassan Arsalan,73243-2571476-6,3135012706,"474 Road, Saddar,City",Key Maker,24.8615984,67.0290744
Haider Hassan,Qazi Mairaj Ali,22399-4333049-2,3921199397,"220 Avenue, Saddar,City",Electrician,24.8615984,67.0290744
Hassan Faizan,Hassan Arsalan,30930-7515279-9,3213927783,"624 Avenue, Korangi,Town",Key Maker,24.8387414,67.1209226
Qazi Mairaj Muhammad,Bilal Ali,32950-1178480-9,3162412137,"143 Street, Orangi,Town",Flat Tire Mechanic,24.9517285,67.00227149999999
Bilal Faizan,Afzal Muhammad,47601-8806177-6,3878108016,"814 Road, Kimari,Town",Electrician,24.8787702,66.87899999999999
Qamar Arsalan,Muhammad Qamar,97371-6955696-2,3359849531,"490 Road, Saddar,Town",Denter,24.8531846,67.0166725
Qazi Mairaj Haider,Qazi Mairaj Arsalan,43964-8124400-6,3072249592,"277 Road, Orangi,Town",Body-Mechanic,24.9517285,67.00227149999999
Ali Muhammad,Arsalan Arsalan,54336-6663841-4,3820537185,"117 Street, Kimari,City",Auto Mechanic,,
Ali Muhammad,Ahmed Bilal,88836-5253504-6,3541122413,"567 Road, Johar,City",Flat Tire Mechanic,,
Qazi Mairaj Bilal,Muhammad Bilal,99439-5489504-4,3911946238,"817 Street, Saddar,City",Denter,24.8615984,67.0290744
Qamar Ali,Qamar Qamar,63128-8054781-6,3162882643,"301 Road, Kimari,City",Electrician,,
Muhammad Afzal,Haider Muhammad,98232-4016734-5,3280388998,"712 Road, Korangi,City",Auto Mechanic,24.8387414,67.1209226
Faizan Qazi Mairaj,Faizan Hassan,82093-3009509-2,3308036087,"818 Street, Johar,City",Painter,,
Faizan Ahmed,Muhammad Bilal,62526-8916043-2,3924253354,"537 Street, Saddar,Town",Painter,24.8531846,67.0166725
Muhammad Haider,Hassan Ahmed,47197-5817568-8,3066755930,"917 Street, Johar,Town",Key Maker,31.469693,74.27284610000001
Muhammad Qazi Mairaj,Nisar Bilal,65006-9592121-8,3488409399,"801 Avenue, Saddar,Town",Electrician,24.8531846,67.0166725
Haider Qamar,Muhammad Nisar,75142-2843758-5,3906707325,"517 Avenue, Kimari,City",Flat Tire Mechanic,,
Haider Faizan,Muhammad Qazi Mairaj,22572-8009416-7,3613554340,"844 Street, Johar,City",Painter,,
Nisar Afzal,Arsalan Afzal,79873-9674207-3,3511737684,"264 Road, Five Star,City",Body-Mechanic,,
Muhammad Muhammad,Haider Bilal,35414-7071498-4,3942503892,"680 Street, Kimari,City",Key Maker,,
Ahmed Hassan,Ahmed Afzal,90003-7933203-6,3333914158,"336 Road, Liaquatabad,Town",Electrician,24.9046605,67.0472374
Muhammad Hassan,Hassan Ali,56562-1644253-2,3814931454,"939 Road, Kimari,City",Denter,35.9094978,-90.5548479
Qamar Ali,Hassan Afzal,60561-4500400-7,3770653240,"845 Avenue, Kimari,City",Body-Mechanic,,
Ahmed Hassan,Hassan Faizan,80365-3946532-4,3976207595,"514 Street, Liaquatabad,City",Painter,24.9046605,67.0472374
Ali Arsalan,Bilal Afzal,35887-2649682-4,3379579151,"178 Street, Five Star,Town",Electrician,,
Faizan Afzal,Afzal Qazi Mairaj,48534-4278122-2,3423287397,"922 Avenue, Johar,Town",Electrician,31.469693,74.27284610000001
Haider Faizan,Faizan Bilal,54963-2376803-8,3949945581,"97 Road, Korangi,Town",Painter,24.8387414,67.1209226
Afzal Afzal,Nisar Qamar,76118-6366264-8,3811282550,"324 Road, Five Star,City",Key Maker,,
Qamar Muhammad,Muhammad Muhammad,98509-5505924-6,3338461399,"736 Road, Johar,Town",Painter,31.469693,74.27284610000001
Qazi Mairaj Ali,Qamar Ali,25242-4566241-8,3791238705,"467 Street, Liaquatabad,Town",Auto Mechanic,24.9046605,67.0472374
Ahmed Hassan,Haider Hassan,29795-2837956-9,3760524847,"824 Road, Kimari,Town",Body-Mechanic,24.8787702,66.87899999999999
Afzal Nisar,Bilal Bilal,50507-2321275-1,3201174806,"712 Avenue, Orangi,City",Body-Mechanic,24.9517285,67.00227149999999
Afzal Arsalan,Qazi Mairaj Arsalan,22120-7936836-6,3739656711,"944 Street, Johar,Town",Painter,31.469693,74.27284610000001
Muhammad Haider,Hassan Faizan,72325-6111278-1,3084714890,"998 Road, Saddar,City",Flat Tire Mechanic,24.8615984,67.0290744
Haider Arsalan,Qamar Ahmed,66320-7583265-3,3649371257,"654 Road, Korangi,City",Auto Mechanic,24.8387414,67.1209226
Muhammad Ali,Qamar Ahmed,30865-5019675-9,3840655127,"707 Street, Gulshan,City",Flat Tire Mechanic,33.2573986,73.1455467
Ali Ahmed,Afzal Ali,15999-6628306-2,3408899744,"588 Street, Johar,City",Auto Mechanic,,
Arsalan Arsalan,Bilal Faizan,49310-4130940-1,3273454144,"794 Avenue, Korangi,Town",Auto Mechanic,24.8387414,67.1209226
Haider Muhammad,Qamar Nisar,59968-6544297-1,3664526817,"132 Avenue, Liaquatabad,Town",Denter,24.9046605,67.0472374
Ahmed Hassan,Qazi Mairaj Muhammad,81349-1092694-7,3888425182,"332 Road, Kimari,City",Painter,,
Bilal Faizan,Arsalan Ahmed,41284-7846152-9,3830143161,"653 Road, Saddar,City",Denter,24.8615984,67.0290744
Muhammad Ali,Qamar Nisar,21383-5955835-5,3419943370,"83 Avenue, Korangi,City",Key Maker,24.8387414,67.1209226
Qazi Mairaj Arsalan,Muhammad Faizan,67149-8912828-9,3494468690,"486 Street, Orangi,Town",Painter,24.9517285,67.00227149999999
Bilal Qazi Mairaj,Bilal Ali,88281-9148084-1,3209242156,"462 Avenue, Kimari,Town",Auto Mechanic,24.8787702,66.87899999999999
Ahmed Muhammad,Muhammad Faizan,33459-8078553-4,3936212046,"996 Street, Korangi,City",Body-Mechanic,24.8387414,67.1209226
Ahmed Muhammad,Qazi Mairaj Muhammad,66277-6317912-6,3975266992,"774 Street, Korangi,City",Body-Mechanic,24.8387414,67.1209226
Muhammad Haider,Faizan Nisar,27876-5945701-7,3884965640,"294 Avenue, Five Star,Town",Electrician,,
Hassan Afzal,Haider Hassan,83176-9411775-9,3776959232,"82 Road, Gulshan,Town",Electrician,24.9180271,67.0970916
Arsalan Faizan,Haider Bilal,95450-4294669-5,3966433278,"868 Avenue, Gulshan,City",Flat Tire Mechanic,23.7924961,90.40780579999999
Ali Hassan,Nisar Ali,98609-9524857-3,3716681880,"792 Street, Kimari,Town",Denter,24.8787702,66.87899999999999
Afzal Qazi Mairaj,Bilal Ali,92130-9576291-6,3853894230,"596 Street, Johar,City",Painter,,
Muhammad Haider,Bilal Ali,99318-7190289-1,3900868478,"783 Avenue, Orangi,City",Key Maker,24.9517285,67.00227149999999
